"zip","TOTAL10","TOTAL11","TOTAL5","TOTAL7","TOTAL12","TOTAL9","TOTAL6","TOTAL13","TOTAL8","TOTAL15","TOTAL14","RAPE5","RAPE6","RAPE7","RAPE8","RAPE9","RAPE10","RAPE11","RAPE12","RAPE15","RAPE14","RAPE13","latitude","longitude","state","sector_desc.x","INSTNM","primary_city","county","rape.rate5","rape.rate6","rape.rate7","rape.rate9","rape.rate11","rape.rate12","rape.rate13","rape.rate15"
77042,NA,NA,NA,NA,NA,NA,NA,212,NA,212,212,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.74,-95.56,"TX",NA,"Center for Advanced Legal Studies","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77042,NA,NA,NA,NA,NA,NA,NA,317,NA,317,317,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.74,-95.56,"TX",NA,"Sanford-Brown College-Houston","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77042,NA,NA,NA,NA,NA,NA,NA,485,NA,485,485,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.74,-95.56,"TX",NA,"American InterContinental University-Houston","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77042,NA,NA,NA,NA,NA,NA,NA,96,NA,96,96,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.74,-95.56,"TX",NA,"MediaTech Institute-Houston","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77043,NA,NA,43518,54942,NA,NA,43518,NA,54942,NA,NA,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.81,-95.58,"TX","Public, 2-year","Houston Community College System","Houston","Harris County",0.00459579943931247,0,0,NA,NA,NA,NA,NA
77043,NA,NA,NA,NA,NA,NA,NA,56522,NA,56522,56522,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.81,-95.58,"TX",NA,"Houston Community College","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77049,NA,NA,23805,27011,NA,NA,23805,28326,27011,28326,28326,0,0,0,0,NA,NA,NA,NA,0,0,0,29.83,-95.15,"TX","Public, 2-year","San Jacinto Community College","Houston","Harris County",0,0,0,NA,NA,NA,0,0
77051,NA,NA,43518,54942,NA,NA,43518,NA,54942,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.66,-95.38,"TX","Public, 2-year","Houston Community College System","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77051,NA,NA,NA,NA,NA,NA,NA,56522,NA,56522,56522,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.66,-95.38,"TX",NA,"Houston Community College","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77054,NA,NA,NA,NA,NA,NA,NA,50,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.68,-95.4,"TX",NA,"Astrodome Career Centers","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
