"INSTNM","sector_desc","RAPE13","RAPE5","RAPE6","RAPE7","RAPE8","RAPE9","RAPE10","RAPE11","RAPE12","RAPE14","RAPE15"
"Cleveland Institute of Dental-Medical Assistants-Mentor","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Cleveland Institute of Music","Private nonprofit, 4-year or above",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Cleveland Municipal School District Adult and Cont","Public, less-than 2-year",NA,1,0,0,0,NA,NA,NA,NA,NA,NA
"Cleveland State Community College","Public, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Cleveland State University","Public, 4-year or above",2,NA,NA,3,3,NA,NA,NA,NA,1,1
"Cleveland University-Kansas City","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Clinton College","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Clinton Community College","Public, 2-year",0,3,1,1,1,NA,NA,NA,NA,0,1
"Clinton Essex Warren Washington BOCES","Public, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Clinton Essex Warren Washington BOCES-Practical Nursing Program","Public, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Clinton Junior College","Private nonprofit, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Clinton Technical School","Public, less-than 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Cloud County Community College","Public, 2-year",1,NA,NA,1,3,1,2,0,0,1,0
"Clover Park Technical College","Public, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clover Park Technical College","Public, 4-year or above",1,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Clovis Adult Education","Public, less-than 2-year",0,0,0,0,0,0,0,0,0,0,0
"Clovis Community College","Public, 2-year",0,0,0,0,0,0,0,0,0,0,0
"Cloyd's Barber School 2 Inc","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Cloyd's Beauty School 1 Inc","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Cloyd's Beauty School 3 Inc","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Cloyds Beauty School 1 Inc","Private for-profit, less-than 2-year",NA,0,0,0,0,0,0,0,0,NA,NA
"Cloyds Beauty School 2 Inc","Private for-profit, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Cloyds Beauty School 3 Inc","Private for-profit, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Coachella Valley Beauty College","Private for-profit, less-than 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Coahoma Community College","Public, 2-year",0,0,0,0,0,0,0,0,0,0,0
"Coast Career Institute","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Coastal Bend College","Public, 2-year",0,1,0,0,1,NA,NA,NA,NA,0,0
"Coastal Carolina Community College","Public, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Coastal Carolina University","Public, 4-year or above",6,1,3,3,8,NA,NA,NA,NA,12,8
"Coastal Georgia Community College","Public, 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Coastal Pines Technical College","Public, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Coastline Beauty College","Private for-profit, less-than 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Coastline Community College","Public, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COBA Academy","Private for-profit, less-than 2-year",0,0,0,0,0,0,0,0,0,0,0
"Cobb Beauty College Inc","Private for-profit, less-than 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Cochise College","Public, 2-year",NA,0,0,0,0,0,1,1,0,NA,NA
"Cochise County Community College District","Public, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Cochran School of Nursing","Private nonprofit, 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Coconino Community College","Public, 2-year",1,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Coconino County Community College","Public, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Coe College","Private nonprofit, 4-year or above",6,0,2,1,3,2,1,7,4,5,7
"Coffeyville Community College","Public, 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Cogswell College","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cogswell Polytechnical College","Private nonprofit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Coker College","Private nonprofit, 4-year or above",0,0,1,0,0,NA,NA,NA,NA,2,1
"Colby-Sawyer College","Private nonprofit, 4-year or above",4,NA,NA,3,1,6,3,3,2,1,2
"Colby College","Private nonprofit, 4-year or above",8,2,4,0,2,0,0,1,2,4,10
"Colby Community College","Public, 2-year",2,1,1,1,0,0,0,0,1,1,0
"Colegio Biblico Pentecostal de Puerto Rico","Private nonprofit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Colegio de Cinematografia Artes y Television","Private for-profit, 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Colegio de Cinematograf�a Artes y Television","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colegio de Cinematografia, Artes y Television","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Colegio Educativo Tecnologico Industrial Inc","Private nonprofit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colegio Mayor de Tecnologia Inc","Private for-profit, less-than 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colegio Pentecostal Mizpa","Private nonprofit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Colegio Tecnico de Electricidad Galloza","Private for-profit, less-than 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colegio Tecnologico y Comercial de Puerto Rico","Private for-profit, less-than 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Colegio Universitario de San Juan","Public, 4-year or above",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Coleman College","Private nonprofit, 4-year or above",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Coleman University","Private nonprofit, 4-year or above",0,NA,NA,0,0,0,0,0,0,0,0
"Colgate Rochester Crozer Divinity School","Private nonprofit, 4-year or above",0,0,0,0,0,NA,NA,NA,NA,0,0
"Colgate University","Private nonprofit, 4-year or above",7,2,1,1,5,NA,NA,NA,NA,12,9
"Colleen O'Haras Beauty Academy","Private for-profit, less-than 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"College America","Private for-profit, 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"College America","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"College America-Cheyenne","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"College America-Colorado Springs","Private for-profit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"College America-Denver","Private for-profit, 4-year or above",NA,NA,NA,0,0,0,0,0,0,NA,NA
"College America-Flagstaff","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"College America-Fort Collins","Private for-profit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"College for Creative Studies","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"College for Technical Education","Private nonprofit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"College of Alameda","Public, 2-year",0,NA,NA,1,1,0,0,0,0,0,0
"College of Biblical Studies-Houston","Private nonprofit, 4-year or above",0,0,0,0,0,NA,NA,NA,NA,0,0
"College of Business and Technology","Private for-profit, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"College of Business and Technology-Cutler Bay","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"College of Business and Technology-Flagler","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"College of Business and Technology-Flagler Campus","Private for-profit, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"College of Business and Technology-Hialeah","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"College of Business and Technology-Hialeah Campus","Private for-profit, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"College of Business and Technology-Kendall","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"College of Central Florida","Public, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"College of Charleston","Public, 4-year or above",3,NA,NA,NA,NA,NA,NA,NA,NA,9,7
"College of Coastal Georgia","Public, 4-year or above",0,NA,NA,0,0,0,0,0,0,1,1
"College of Cosmetology","Private for-profit, 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"College of Court Reporting Inc","Private for-profit, 2-year",0,0,0,0,0,0,0,0,0,0,0
"College of DuPage","Public, 2-year",NA,0,0,0,0,0,3,0,1,NA,NA
"College of Eastern Utah","Public, 2-year",NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA
"College of Hair Design","Private for-profit, 2-year",NA,0,0,0,0,0,0,0,0,NA,NA
"College of Hair Design-Downtown","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"College of Hair Design-East Campus","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"College of Hair Design Careers","Private for-profit, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"College of Health Care Professions-Northwest","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"College of Information Technology","Private for-profit, less-than 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"College of International Esthetics Inc","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"College of Lake County","Public, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"College of Legal Arts","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"College of Marin","Public, 2-year",0,NA,NA,0,0,0,0,0,0,1,2
"College of Massage Therapy","Public, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"College of Menominee Nation","Private nonprofit, 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"College of Menominee Nation","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"College of Micronesia-FSM","Public, 2-year",0,NA,NA,0,1,NA,NA,NA,NA,0,0
"College of Mount Saint Vincent","Private nonprofit, 4-year or above",3,NA,NA,0,1,NA,NA,NA,NA,1,2
"College of Mount St. Joseph","Private nonprofit, 4-year or above",NA,0,0,1,1,NA,NA,NA,NA,NA,NA
"College of Notre Dame of Maryland","Private nonprofit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"College of Our Lady of the Elms","Private nonprofit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"College of Saint Benedict","Private nonprofit, 4-year or above",2,1,1,1,1,0,0,0,0,2,5
"College of Saint Elizabeth","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,1,1,0,0
"College of Saint Mary","Private nonprofit, 4-year or above",0,NA,NA,0,0,0,1,0,0,0,0
"College of San Mateo","Public, 2-year",1,1,0,0,0,0,0,1,0,0,0
"College of Santa Fe","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"College of Santa Fe","Private nonprofit, 4-year or above",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"College of Santa Fe at Albuquerque","not Dertermined yet",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"College of Southern Idaho","Public, 2-year",2,NA,NA,NA,NA,NA,0,1,0,2,0
"College of Southern Maryland","Public, 2-year",NA,0,0,0,0,0,0,0,0,NA,NA
"College of Southern Nevada","Public, 4-year or above",0,NA,NA,NA,NA,NA,0,2,0,1,0
"College of St Catherine","Private nonprofit, 4-year or above",NA,1,0,1,0,NA,NA,NA,NA,NA,NA
"College of St Joseph","Private nonprofit, 4-year or above",0,1,0,0,0,NA,NA,NA,NA,0,0
"College of St. Mary Magdalen","Private nonprofit, 4-year or above",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"College of Staten Island CUNY","Public, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,3
"College of the Albemarle","Public, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"College of the Atlantic","Private nonprofit, 4-year or above",0,0,0,0,0,0,1,0,0,2,0
"College of the Canyons","Public, 2-year",0,1,0,1,1,1,1,0,0,0,1
"College of the Desert","Public, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"College of the Holy Cross","Private nonprofit, 4-year or above",5,6,2,1,8,1,2,4,8,5,3
"College of the Mainland","Public, 2-year",1,NA,NA,0,0,NA,NA,NA,NA,0,0
"College of the Marshall Islands","Public, 2-year",0,0,2,0,0,NA,NA,NA,NA,0,0
"College of the Ouachitas","Public, 2-year",0,NA,NA,NA,NA,0,0,0,0,1,0
"College of the Ozarks","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"College of the Redwoods","Public, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"College of the Sequoias","Public, 2-year",1,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"College of the Siskiyous","Public, 2-year",0,NA,NA,0,2,0,1,0,0,0,1
"College of Visual Arts","Private nonprofit, 4-year or above",NA,0,0,0,0,0,NA,NA,NA,NA,NA
"College of Western Idaho","Public, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"College of William and Mary","Public, 4-year or above",3,NA,NA,NA,NA,NA,NA,NA,NA,3,7
"College of Wilmington","Private for-profit, less-than 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"CollegeAmerica-Cheyenne","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"CollegeAmerica-Colorado Springs","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"CollegeAmerica-Denver","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"CollegeAmerica-Flagstaff","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"CollegeAmerica-Fort Collins","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"CollegeAmerica-Phoenix","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Collin County Community College District","Public, 2-year",0,0,2,0,0,NA,NA,NA,NA,0,0
"Collins College","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collins School of Cosmetology","Private for-profit, 2-year",NA,NA,NA,0,0,0,0,0,0,NA,NA
"Collins School of Cosmetology","Private for-profit, less-than 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Colorado Academy of Veterinary Technology","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colorado Christian University","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"Colorado College","Private nonprofit, 4-year or above",12,4,4,3,4,9,10,10,6,9,6
"Colorado Heights University","Private nonprofit, 4-year or above",1,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"Colorado Media School","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colorado Mesa University","Public, 4-year or above",3,NA,NA,NA,NA,0,0,6,2,8,6
"Colorado Mountain College","Public, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Colorado Mountain College","Public, 4-year or above",0,NA,NA,NA,NA,0,0,0,0,1,0
"Colorado Northwestern Community College","Public, 2-year",1,NA,NA,0,1,0,0,0,0,1,0
"Colorado School of Healing Arts","Private for-profit, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Colorado School of Mines","Public, 4-year or above",0,NA,NA,0,0,1,0,0,2,1,1
"Colorado School of Trades","Private for-profit, 2-year",0,0,0,0,0,0,0,0,0,0,0
"Colorado School of Traditional Chinese Medicine","Private for-profit, 4-year or above",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Colorado State University","Public, 4-year or above",NA,3,6,4,2,NA,NA,NA,NA,NA,NA
"Colorado State University-Fort Collins","Public, 4-year or above",19,NA,NA,NA,NA,4,4,4,12,17,11
"Colorado State University-Pueblo","Public, 4-year or above",3,NA,NA,3,0,1,1,3,3,6,3
"Colorado Technical University","Private for-profit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Colorado Technical University-Colorado Springs","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"Colorado Technical University-Greenwood Village","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colorado Technical University of Sioux Falls","Private for-profit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Colorado Technical University Online","Private for-profit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Colton-Redlands-Yucaipa Regional Occupational Program","Public, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Columbia-Greene Community College","Public, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Columbia Academy of Cosmetology","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Columbia Area Career Center","Public, less-than 2-year",0,NA,NA,NA,NA,NA,0,0,0,0,0
"Columbia Area Vocational Technical School","Public, less-than 2-year",NA,0,0,0,0,0,NA,NA,NA,NA,NA
"Columbia Basin College","Public, 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Columbia Basin College","Public, 4-year or above",1,NA,NA,1,0,NA,NA,NA,NA,0,0
"Columbia Central University-Caguas","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Columbia Central University-Yauco","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Columbia Centro Universitario","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Columbia College","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Columbia College","Private nonprofit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Columbia College","Public, 2-year",0,NA,NA,0,1,0,0,1,1,2,1
"Columbia College-Chicago","Private nonprofit, 4-year or above",2,NA,NA,NA,NA,NA,NA,NA,NA,5,3
"Columbia College-Hollywood","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Columbia College Chicago","Private nonprofit, 4-year or above",NA,4,0,0,3,NA,NA,NA,NA,NA,NA
"Columbia College Hollywood","Private nonprofit, 4-year or above",NA,0,0,0,0,0,0,0,0,NA,NA
"Columbia College of Nursing","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Columbia Gorge Community College","Public, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Columbia International University","Private nonprofit, 4-year or above",0,0,0,0,0,NA,NA,NA,NA,0,0
"Columbia Southern University","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Columbia State Community College","Public, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Columbia Theological Seminary","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"Columbia Union College","Private nonprofit, 4-year or above",NA,0,0,0,1,NA,NA,NA,NA,NA,NA
"Columbia University in the City of New York","Private nonprofit, 4-year or above",21,6,5,8,5,NA,NA,NA,NA,16,12
"Columbiana County Career and Technical Center","Public, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Columbiana County Vocational School","Public, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Columbus College of Art and Design","Private nonprofit, 4-year or above",0,0,0,0,0,NA,NA,NA,NA,0,0
"Columbus State Community College","Public, 2-year",1,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Columbus State University","Public, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,12,3
"Columbus Technical College","Public, 2-year",0,0,0,0,0,0,0,0,0,0,0
"Commercial Diving Academy","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Commonwealth Institute of Funeral Service","Private nonprofit, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Commonwealth Technical Institute","Private nonprofit, 2-year",0,2,1,2,0,NA,NA,NA,NA,0,0
"Community and Technical College at West Virginia University Institute of Technology","Public, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Community Based Education and Development DBA CBD College","Private nonprofit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Community Based Education Development","Private nonprofit, less-than 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Community Care College","Private for-profit, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Community Care College","Private nonprofit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Community Christian College","Private nonprofit, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Community College of Allegheny County","Public, 2-year",0,0,0,1,0,NA,NA,NA,NA,0,0
"Community College of Aurora","Public, 2-year",0,NA,NA,NA,NA,NA,0,0,0,0,0
"Community College of Beaver County","Public, 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Community College of Denver","Public, 2-year",NA,NA,NA,1,1,4,2,1,2,NA,NA
"Community College of Philadelphia","Public, 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,2
"Community College of Rhode Island","Public, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Community College of Vermont","Public, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Community Hospital School of Nursing","Private nonprofit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Community Services Division-Alliance City","Public, less-than 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Compass Career College","not Dertermined yet",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Compass Career College","Private for-profit, less-than 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Compass College of Cinematic Arts","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Compu-Med Vocational Careers Corp","Private for-profit, less-than 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Computer Career Center","Private for-profit, 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Computer Systems Institute","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Computer Tutor Business and Technical Institute","Private for-profit, less-than 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Concept College of Cosmetology","Private for-profit, less-than 2-year",NA,NA,NA,0,0,0,0,0,0,NA,NA
"Conception Seminary College","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"Concord University","Public, 4-year or above",3,NA,NA,0,1,NA,NA,NA,NA,0,0
"Concorde Career College","Private for-profit, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Concorde Career College-Aurora","Private for-profit, 2-year",0,NA,NA,NA,NA,0,0,0,0,0,0
"Concorde Career College-Dallas","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Concorde Career College-Garden Grove","Private for-profit, 2-year",0,NA,NA,NA,NA,0,0,0,0,0,0
"Concorde Career College-Grand Prairie","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Concorde Career College-Kansas City","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Concorde Career College-Memphis","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Concorde Career College-North Hollywood","Private for-profit, 2-year",0,NA,NA,NA,NA,0,0,0,0,0,0
"Concorde Career College-Portland","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Concorde Career College-San Antonio","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Concorde Career College-San Bernardino","Private for-profit, 2-year",0,NA,NA,NA,NA,0,0,0,0,0,0
"Concorde Career College-San Diego","Private for-profit, 2-year",0,NA,NA,NA,NA,0,0,0,0,0,0
"Concorde Career Colleges","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Concorde Career Colleges","Private for-profit, less-than 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Concorde Career Institute","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Concorde Career Institute","Private for-profit, less-than 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Concorde Career Institute-Jacksonville","Private for-profit, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Concorde Career Institute-Miramar","Private for-profit, 2-year",0,NA,NA,NA,NA,0,0,0,0,0,0
"Concorde Career Institute-Orlando","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Concorde Career Institute-Tampa","Private for-profit, 2-year",0,NA,NA,NA,NA,0,0,0,0,0,0
"Concorde School of Hair Design-Bloomfield","Private for-profit, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Concorde School of Hair Design-Ocean Township","Private for-profit, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Concordia College","Private nonprofit, 4-year or above",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA
"Concordia College-New York","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,3,1
"Concordia College-Selma","Private nonprofit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Concordia College Alabama","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,0,0,0,0,0,0
"Concordia College at Moorhead","Private nonprofit, 4-year or above",3,3,3,1,0,0,1,0,0,4,1
"Concordia Seminary","Private nonprofit, 4-year or above",0,NA,NA,0,0,0,0,0,0,0,0
"Concordia Theological Seminary","Private nonprofit, 4-year or above",0,NA,NA,0,0,0,0,0,0,0,0
"Concordia University","Private nonprofit, 4-year or above",NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA
"Concordia University-Ann Arbor","Private nonprofit, 4-year or above",1,0,0,0,0,0,0,0,0,0,0
"Concordia University-Chicago","Private nonprofit, 4-year or above",2,NA,NA,NA,NA,0,0,1,0,3,3
"Concordia University-Irvine","Private nonprofit, 4-year or above",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"Concordia University-Nebraska","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Concordia University-Portland","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"Concordia University-Saint Paul","Private nonprofit, 4-year or above",0,0,0,0,0,3,1,1,0,1,0
