"INSTNM","sector_desc","RAPE13","RAPE5","RAPE6","RAPE7","RAPE8","RAPE9","RAPE10","RAPE11","RAPE12","RAPE14","RAPE15"
"American College of Health Professions","Private for-profit, less-than 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"American College of Healthcare","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American College of Traditional Chinese Medicine","Private nonprofit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"American Commercial College","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"American Commercial College-Odessa","Private for-profit, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"American Conservatory Theater","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"American Educational College","Private for-profit, less-than 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"American Film Institute Conservatory","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"American Hair Academy","Private for-profit, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American Indian College Inc","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American Indian College of the Assemblies of God Inc","Private nonprofit, 4-year or above",NA,NA,NA,0,0,0,0,0,0,NA,NA
"American Indian OIC Inc","Private nonprofit, less-than 2-year",0,NA,NA,0,0,0,0,0,0,0,0
"American Institute","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"American Institute-Clifton","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American Institute-Margate","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American Institute-School of Health Careers","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"American Institute-West Hartford","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American Institute of Alternative Medicine","Private for-profit, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"American Institute of Beauty","not Dertermined yet",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"American Institute of Beauty","Private for-profit, less-than 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"American Institute of Interior Design","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American Institute of Massage Therapy","not Dertermined yet",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"American Institute of Massage Therapy","Private for-profit, less-than 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American Institute of Medical Sciences & Education","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American Institute of Medical Technology","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"American Institute of Medical Technology","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American Institute of Technology","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American Intercontinental University","Private for-profit, 4-year or above",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"American InterContinental University-Atlanta","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American Intercontinental University-Dunwoody Campus","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"American InterContinental University-Houston","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American Intercontinental University Online","Private for-profit, 4-year or above",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"American International College","Private nonprofit, 4-year or above",2,NA,NA,0,1,1,1,1,0,1,1
"American Jewish University","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"American Medical Academy","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American Medical Sciences Center","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American Musical and Dramatic Academy","Private nonprofit, 4-year or above",1,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American National University","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American National University-Canton","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American National University-Cincinnati","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American National University-Columbus","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American National University-Dayton","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American National University-Lexington","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American National University-Youngstown","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American Professional Institute","Private for-profit, less-than 2-year",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA
"American River College","Public, 2-year",0,NA,NA,NA,NA,NA,0,3,2,0,0
"American Samoa Community College","Public, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"American Samoa Community College","Public, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American School of Business","Private for-profit, less-than 2-year",NA,0,0,0,0,0,0,0,0,NA,NA
"American School of Technology","Private for-profit, less-than 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"American Sentinel University","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American Technical Institute","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American Trade School","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"American University","Private nonprofit, 4-year or above",8,NA,NA,2,0,3,1,3,7,12,18
"American University of Health Sciences","Private for-profit, 4-year or above",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"American University of Puerto Rico","Private nonprofit, 4-year or above",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Americare School of Allied Health","Private for-profit, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Americare School of Nursing","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"AmeriTech College","Private for-profit, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AmeriTech College","Private for-profit, less-than 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AmeriTech College-Draper","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"AmeriTech College-Provo","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Amesed","Private for-profit, less-than 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Amherst College","Private nonprofit, 4-year or above",9,3,6,8,5,7,14,15,17,9,9
"Amridge University","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"Ana Visage Academy","not Dertermined yet",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Ana Visage Institute","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Anabaptist Mennonite Biblical Seminary","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,0,0,0,0,0
"Anamarc Educational Institute","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Ancilla College","Private nonprofit, 2-year",0,NA,NA,0,0,0,0,0,0,0,0
"Anderson University","Private nonprofit, 4-year or above",0,1,0,0,0,NA,NA,NA,NA,0,0
"Andover College","Private for-profit, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Andover Newton Theological School","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"Andrew College","Private nonprofit, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews Academy of Cosmetology","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Andrews University","Private nonprofit, 4-year or above",0,0,3,1,1,1,0,3,0,0,1
"Angeles College","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Angeles Institute","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Angelina College","Public, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Angelo State University","Public, 4-year or above",3,1,1,1,1,NA,NA,NA,NA,5,4
"Angley College","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Ann Arbor Institute of Massage Therapy","not Dertermined yet",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Ann Arbor Institute of Massage Therapy","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
