"INSTNM","sector_desc.x","MEN5","WOMEN5","TOTAL5","RAPE5","RAPE6","Zip","RAPE7","RAPE8","MEN7","WOMEN7","TOTAL7","MEN9","WOMEN9","TOTAL9","RAPE9","sector_desc.y","sector_desc.x.x","MEN10","WOMEN10","TOTAL10","RAPE10","RAPE11","RAPE12","sector_desc.y.y","MEN13","WOMEN13","TOTAL13","RAPE13","RAPE14","RAPE15"
"George C Wallace State Community College-Selma","Public, 2-year",533,1248,1781,0,0,367032808,0,0,645,1293,1938,"662","1403","2065",0,"Public, 2-year","Public, 2-year","595","1195","1790","0",0,0,"Public, 2-year",547,1044,1591,0,0,0
"Herzing College","Private for-profit, 4-year or above",113,258,371,0,0,35209,0,0,117,308,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huntingdon College","Private nonprofit, 4-year or above",489,465,954,0,0,361062148,1,0,519,556,1075,"557","566","1123",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","562","556","1118","0",0,0,"Private nonprofit, 4-year or above",583,583,1166,0,1,0
"Heritage Christian University","Private nonprofit, 4-year or above",78,12,90,0,0,35630,0,0,98,13,111,"74","12","86",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","75","10","85","0",0,0,"Private nonprofit, 4-year or above",89,3,92,0,0,0
"J F Drake State Technical College","Public, 2-year",341,353,694,0,0,358111544,0,0,561,697,1258,"513","710","1223",0,"Public, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacksonville State University","Public, 4-year or above",3677,5400,9077,0,0,36265,0,1,3839,5512,9351,"3886","5604","9490",0,"Public, 4-year or above","Public, 4-year or above","3748","5413","9161","1",2,2,"Public, 4-year or above",3523,4791,8314,0,0,1
"Jefferson Davis Community College","Public, 2-year",573,684,1257,0,0,36426,0,0,602,831,1433,"568","683","1251",0,"Public, 2-year","Public, 2-year","489","605","1094","0",0,0,"Public, 2-year",489,609,1098,0,0,0
"Jefferson State Community College","Public, 2-year",3077,4867,7944,0,0,352153098,0,0,3429,5152,8581,"3744","5716","9460",0,"Public, 2-year","Public, 2-year","3495","5383","8878","0",0,0,"Public, 2-year",3432,5389,8821,0,0,0
"John C Calhoun State Community College","Public, 2-year",3925,5198,9123,0,0,356092216,0,0,4811,6401,11212,"5091","6990","12081",0,"Public, 2-year","Public, 2-year","4843","6334","11177","0",0,0,"Public, 2-year",4552,5433,9985,0,0,0
"Judson College","Private nonprofit, 4-year or above",11,300,311,0,0,36756,0,0,14,299,313,"9","344","353",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","10","347","357","0",0,0,"Private nonprofit, 4-year or above",15,359,374,0,0,0
"Lawson State Community College-Birmingham Campus","Public, 2-year",1195,2125,3320,1,0,352211717,0,0,1601,2752,4353,"1651","2554","4205",0,"Public, 2-year","Public, 2-year","1371","2048","3419","0",0,0,"Public, 2-year",1304,1868,3172,0,0,0
"Lawson State Community College-Birmingham Campus","Public, 2-year",1195,2125,3320,0,0,35022,0,0,1601,2752,4353,"1651","2554","4205",0,"Public, 2-year","Public, 2-year","1371","2048","3419","0",0,0,"Public, 2-year",1304,1868,3172,0,0,0
"University of West Alabama","Public, 4-year or above",1100,2911,4011,0,0,35470,0,0,1216,3941,5157,"1289","3969","5258",0,"Public, 4-year or above","Public, 4-year or above","1223","3720","4943","0",0,0,"Public, 4-year or above",1215,2817,4032,0,0,0
"Lurleen B Wallace Community College","Public, 2-year",558,1034,1592,0,0,364201418,0,0,657,1133,1790,"603","1176","1779",0,"Public, 2-year","Public, 2-year","605","1041","1646","0",0,0,"Public, 2-year",777,955,1732,0,0,0
"Lurleen B Wallace Community College","Public, 2-year",558,1034,1592,0,0,36467,0,0,657,1133,1790,"603","1176","1779",0,"Public, 2-year","Public, 2-year","605","1041","1646","0",0,0,"Public, 2-year",777,955,1732,0,0,0
"Lurleen B Wallace Community College","Public, 2-year",558,1034,1592,0,0,36037,0,0,657,1133,1790,"603","1176","1779",0,"Public, 2-year","Public, 2-year","605","1041","1646","0",0,0,"Public, 2-year",777,955,1732,0,0,0
"Marion Military Institute","Private nonprofit, 2-year",312,85,397,0,1,36756,0,0,367,144,511,"336","73","409",0,"Public, 2-year","Public, 2-year","317","65","382","0",0,0,"Public, 2-year",361,96,457,0,1,4
"Miles College","Private nonprofit, 4-year or above",537,673,1210,0,0,35064,0,0,848,943,1791,"815","819","1634",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","863","828","1691","0",0,0,"Private nonprofit, 4-year or above",941,932,1873,0,0,0
"University of Mobile","Private nonprofit, 4-year or above",503,1038,1541,0,0,366132842,0,0,520,1050,1570,"539","1195","1734",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","517","1202","1719","0",0,0,"Private nonprofit, 4-year or above",553,1013,1566,0,0,0
"University of Montevallo","Public, 4-year or above",917,2032,2949,2,1,35115,0,0,934,2110,3044,"997","2069","3066",3,"Public, 4-year or above","Public, 4-year or above","1043","2040","3083","1",3,1,"Public, 4-year or above",968,2063,3031,1,1,1
"Northwest Shoals Community College-Muscle Shoals","Public, 2-year",1461,2217,3678,0,0,35661,0,0,1883,2637,4520,"1725","2214","3939",0,"Public, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northwest Shoals Community College-Muscle Shoals","Public, 2-year",1461,2217,3678,0,0,35581,0,0,1883,2637,4520,"1725","2214","3939",0,"Public, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of North Alabama","Public, 4-year or above",2064,2599,4663,1,0,356320001,3,0,3135,4059,7194,"3126","4107","7233",1,"Public, 4-year or above","Public, 4-year or above","2941","4091","7032","1",1,1,"Public, 4-year or above",2913,4165,7078,4,0,1
"University of North Alabama","Public, 4-year or above",2064,2599,4663,0,0,35630,0,0,3135,4059,7194,"3126","4107","7233",0,"Public, 4-year or above","Public, 4-year or above","2941","4091","7032","0",0,0,"Public, 4-year or above",2913,4165,7078,0,0,0
"Northeast Alabama Community College","Public, 2-year",872,1641,2513,0,0,35986,0,0,1250,2120,3370,"1291","2003","3294",0,"Public, 2-year","Public, 2-year","1215","1925","3140","0",0,0,"Public, 2-year",1046,1654,2700,0,0,0
"Oakwood College","Private nonprofit, 4-year or above",766,1058,1824,0,0,358960003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama Southern Community College","Public, 2-year",417,825,1242,0,0,364612000,0,0,532,899,1431,"474","958","1432",0,"Public, 2-year","Public, 2-year","502","810","1312","0",0,0,"Public, 2-year",589,797,1386,0,0,0
"Alabama Southern Community College","Public, 2-year",417,825,1242,0,0,367842000,0,0,532,899,1431,"474","958","1432",0,"Public, 2-year","Public, 2-year","502","810","1312","0",0,0,"Public, 2-year",589,797,1386,0,0,0
"Alabama Southern Community College","Public, 2-year",417,825,1242,0,0,36908,0,0,532,899,1431,"474","958","1432",0,"Public, 2-year","Public, 2-year","502","810","1312","0",0,0,"Public, 2-year",589,797,1386,0,0,0
"Alabama Southern Community College","Public, 2-year",417,825,1242,0,0,36545,0,0,532,899,1431,"474","958","1432",0,"Public, 2-year","Public, 2-year","502","810","1312","0",0,0,"Public, 2-year",589,797,1386,0,0,0
"Alabama Southern Community College","Public, 2-year",417,825,1242,0,0,36732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prince Institute of Professional Studies Inc","Private for-profit, 2-year",6,53,59,0,0,361174231,0,0,2,61,63,"4","107","111",0,"Private for-profit, 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reid State Technical College","Public, 2-year",191,393,584,0,0,36401,0,0,325,435,760,"270","428","698",0,"Public, 2-year","Public, 2-year","198","297","495","0",0,0,"Public, 2-year",229,342,571,0,0,0
"Bishop State Community College","Public, 2-year",949,1862,2811,0,0,366035898,0,0,1287,2311,3598,"1415","2567","3982",0,"Public, 2-year","Public, 2-year","1382","2409","3791","0",0,0,"Public, 2-year",1253,1858,3111,0,0,0
"Shelton State Community College","Public, 2-year",2432,2891,5323,0,0,35405,0,0,2716,3092,5808,"2254","3053","5307",0,"Public, 2-year","Public, 2-year","2178","2926","5104","0",0,0,"Public, 2-year",2165,2669,4834,0,0,0
"Shelton State Community College","Public, 2-year",2432,2891,5323,0,0,354013541,0,0,2716,3092,5808,"2254","3053","5307",0,"Public, 2-year","Public, 2-year","2178","2926","5104","0",0,0,"Public, 2-year",2165,2669,4834,0,0,0
"Snead State Community College","Public, 2-year",763,1395,2158,3,0,359570734,0,0,872,1611,2483,"892","1525","2417",0,"Public, 2-year","Public, 2-year","937","1499","2436","0",0,0,"Public, 2-year",960,1496,2456,0,0,0
