"INSTNM","sector_desc.x","MEN5","WOMEN5","TOTAL5","RAPE5","RAPE6","Zip","RAPE7","RAPE8","MEN7","WOMEN7","TOTAL7","MEN9","WOMEN9","TOTAL9","RAPE9","sector_desc.y","sector_desc.x.x","MEN10","WOMEN10","TOTAL10","RAPE10","RAPE11","RAPE12","sector_desc.y.y","MEN13","WOMEN13","TOTAL13","RAPE13","RAPE14","RAPE15"
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,85709,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
"Pima Community College","Public, 2-year",14461,18521,32982,0,0,857095500,0,0,16315,19565,35880,"16957","20012","36969",0,"Public, 2-year","Public, 2-year","15341","17647","32988","0",0,0,"Public, 2-year",12669,14211,26880,0,0,0
